Date,Count
2006-11-10,0.0
2006-11-26,0.0
2006-11-27,0.0
2006-11-20,0.0
2006-11-14,0.0
2006-11-22,194.177631579
2006-11-16,0.0
2006-11-30,0.0
2006-11-29,97.0888157895
2006-11-15,0.0
2006-11-06,0.0
2006-11-05,97.0888157895
2006-11-07,0.0
2006-10-02,0.0
2006-10-25,0.0
2006-10-13,0.0
2006-10-12,0.0
2006-10-06,0.0
2006-10-07,0.0
2006-10-17,0.0
2006-10-23,0.0
2006-10-19,97.0888157895
2006-10-03,0.0
2006-10-09,0.0
2006-10-26,0.0
2006-10-16,0.0
2006-10-01,0.0
2006-10-20,0.0
2006-10-21,0.0
2006-12-11,0.0
2006-12-10,0.0
2006-12-13,0.0
2006-12-27,0.0
2006-12-06,0.0
2006-12-07,0.0
2006-12-04,0.0
2006-12-16,0.0
2006-12-18,0.0
2006-12-08,0.0
2006-12-22,0.0
2006-12-28,0.0
2006-12-29,97.0888157895
2006-12-23,97.0888157895
2006-12-21,0.0
2006-12-30,0.0
2006-12-15,97.0888157895
2006-12-31,0.0
2006-12-14,97.0888157895
2006-06-24,0.0
2006-06-03,0.0
2006-06-13,0.0
2006-06-12,97.0888157895
2006-06-06,97.0888157895
2006-06-05,97.0888157895
2006-06-18,0.0
2006-06-09,97.0888157895
2006-06-29,0.0
2006-06-15,0.0
2006-07-02,0.0
2006-07-03,97.0888157895
2006-07-27,0.0
2006-07-21,0.0
2006-07-25,0.0
2006-07-23,0.0
2006-07-31,0.0
2006-07-30,0.0
2006-07-28,97.0888157895
2006-07-01,0.0
2006-07-24,0.0
2006-07-11,0.0
2006-04-24,97.0888157895
2006-04-17,0.0
2006-04-04,0.0
2006-04-23,97.0888157895
2006-04-18,97.0888157895
2006-04-16,0.0
2006-05-13,0.0
2006-05-12,97.0888157895
2006-05-17,0.0
2006-05-18,0.0
2006-05-08,0.0
2006-05-31,0.0
2006-03-02,0.0
2006-03-13,0.0
2006-03-27,97.0888157895
2006-03-17,0.0
2006-03-16,0.0
2006-03-28,0.0
2006-03-26,0.0
2006-03-12,0.0
2006-08-24,0.0
2006-08-03,0.0
2006-08-27,0.0
2006-08-15,0.0
2006-08-07,0.0
2006-08-22,0.0
2006-08-05,0.0
2006-08-19,0.0
2006-08-23,0.0
2006-08-08,0.0
2006-08-09,0.0
2006-08-29,0.0
2006-08-04,0.0
2006-08-01,0.0
2006-08-25,97.0888157895
2006-08-14,0.0
2006-08-20,0.0
2006-08-10,0.0
2006-02-11,0.0
2006-02-03,0.0
2006-02-26,0.0
2006-02-27,194.177631579
2006-02-21,0.0
2006-02-17,0.0
2006-02-23,0.0
2006-02-19,97.0888157895
2006-02-09,0.0
2006-02-28,97.0888157895
2006-02-01,0.0
2006-02-24,0.0
2006-02-12,0.0
2006-01-11,97.0888157895
2006-01-25,0.0
2006-01-13,97.0888157895
2006-01-12,97.0888157895
2006-01-20,0.0
2006-01-07,291.266447368
2006-01-22,0.0
2006-01-30,0.0
2006-01-29,0.0
2006-01-26,0.0
2006-01-21,0.0
2006-01-14,0.0
2006-09-02,97.0888157895
2006-09-25,0.0
2006-09-26,0.0
2006-09-12,0.0
2006-09-06,0.0
2006-09-17,97.0888157895
2006-09-04,0.0
2006-09-05,194.177631579
2006-09-18,0.0
2006-09-22,0.0
2006-09-21,97.0888157895
2006-09-27,0.0
2006-09-14,0.0
2006-09-11,0.0
2006-09-07,97.0888157895
2007-02-02,18.9685089974
2007-02-25,18.9685089974
2007-02-26,18.9685089974
2007-02-27,0.0
2007-02-06,0.0
2007-02-07,18.9685089974
2007-02-22,0.0
2007-02-05,18.9685089974
2007-02-08,0.0
2007-02-09,0.0
2007-02-28,0.0
2007-02-14,0.0
2007-02-24,18.9685089974
2007-02-03,0.0
2007-02-01,0.0
2007-02-20,0.0
2007-02-21,0.0
2007-02-10,0.0
2007-02-13,0.0
2007-02-12,18.9685089974
2007-02-15,0.0
2007-02-04,0.0
2007-02-17,0.0
2007-02-16,0.0
2007-02-19,0.0
2007-02-18,0.0
2007-02-23,0.0
2007-03-07,0.0
2007-03-02,0.0
2007-03-03,0.0
2007-03-26,37.9370179949
2007-03-01,37.9370179949
2007-03-20,18.9685089974
2007-03-21,0.0
2007-03-22,18.9685089974
2007-03-05,18.9685089974
2007-03-23,37.9370179949
2007-03-08,37.9370179949
2007-03-09,0.0
2007-03-28,18.9685089974
2007-03-29,0.0
2007-03-24,0.0
2007-03-25,0.0
2007-03-27,0.0
2007-03-06,94.8425449871
2007-03-14,18.9685089974
2007-03-11,0.0
2007-03-10,18.9685089974
