cuisine,id,value,name
american (traditional),VF9wvcgVPDVa9LBDHPrXuw,0.882352941176,Stackers Restaurant
american (traditional),93hdmjYc8IXsf69VrkRHog,0.886666666667,Good Fellas Grill
american (traditional),d7V3ykQHqChv0KtXEanKLw,0.923076923077,Rock Bottom Restaurant & Brewery
american (traditional),0QEpZi6AelUOXfk3-lCd1A,0.9,Down South Restaurant
american (traditional),SRaXY_h-PnoVkNamuGzAdQ,0.909090909091,Hooters
american (traditional),rLv5DPLnO67TCHIbbBWYPA,0.875,Native New Yorker
american (traditional),7pj0w2wN4LWhvTCPz78h1Q,1.0,Rennick's Restaurant
american (traditional),OL9p2tme85Sd3d8mCiSOxw,1.0,Fox Sports Grill
american (traditional),P8YUA2bXP-wD3VOzWqKVyw,0.895833333333,Sacred Hogan Navajo Frybread
american (traditional),xdmT9sejRDEyud8YFbEcjg,0.927272727273,Bill Johnsons Big Apple
american (traditional),tWVuAPWXvW2g8ce0WWepXA,0.882352941176,George's Famous Gyros & Pasta
american (traditional),wmuYTDs5kVaPRdFjKGtk_w,1.0,Country Boys Restaurants
american (traditional),kPh2gPvd8moVx6gNf2iHsA,0.878787878788,Taberna del Tequila
american (traditional),e0vubCKi8KD8zC2C6FdbuQ,0.894736842105,Islands Restaurant
american (traditional),tdlSjsWl9PYEUBhDXkIvXQ,0.857142857143,Marston's Cafe
american (traditional),PeC1ec6uyX3hlGIPORqs7w,0.846153846154,Moon Valley Grill
american (traditional),h1kwVr1eTpBK0rWfcm5QSg,0.865979381443,Buffalo Wild Wings
american (traditional),PkBkqQpAoeX3Ogo5HBthQg,0.88,Gallagher's
american (traditional),Rj5gyaRIIwDX_OJa1LlE4A,0.942857142857,Chick Rotisserie & Wine Bar
american (traditional),To5CjntVFawXM_hpAhvVdQ,0.951219512195,Wally's' American Pub N Grill
american (traditional),QhZgTuDoGMXyLu2WzrPoyw,1.0,Village Inn
american (traditional),8DKEWD2DaU6XlMNRN4QNlA,0.877551020408,HEK Yeah BBQ
american (traditional),BT2Vls7h6sWrCKa5gGXbKg,0.914893617021,Long Wong's Restaurant
american (traditional),3oZcTGb_oDHGwZFiP-7kxQ,0.910846953938,Chelsea's Kitchen
american (traditional),619v4z_tj2NiZWuX1tPdrw,0.892857142857,Black Bear Diner
american (traditional),-XlBQrxN_ZB3MZKxLBeAjA,0.75,Marie Callender's
american (traditional),po5FyERB4lUZNnBIwnhFlg,0.9375,Sonic Drive-In
american (traditional),HmieoxfEuZT91ojxluadZg,0.866666666667,Shenanigans Bar & Grill
american (traditional),uECIvsUWlDWSiJ9jAfH_kQ,0.864406779661,Texas Roadhouse
american (traditional),DVYTS0ZLO-3ClAhMd99VYA,1.0,Chaka Chaka Urban Cuisine
american (traditional),SAS7V55TcgZSTJ21ZnXqmQ,0.9,12th Fairway Bar & Grill
american (traditional),Qchl3BUVrwGM7h8Qduw6Aw,1.0,Copper Door
american (traditional),2gMx4KnXbNtpoCuVCmyo3g,0.888888888889,Coco's Restaurant
american (traditional),INMlF39JiK9buYVNUR6O7g,1.0,The Playa II Bar and Grill
american (traditional),55seKyxRWUmHC1s52xk45g,0.898550724638,Gallagher's
american (traditional),WRjMDL79KQ0ZG5yCdfJiYA,0.928571428571,Buffalo Wild Wings
american (traditional),C_YBdVpxct0NqjrCJDBlxA,0.866666666667,Sizzler
american (traditional),E0fZHHInMb6xscHDrPlh4Q,0.882352941176,The Art Of Soup
american (traditional),vWcUrFcweGXAWsil_pfpjw,0.875,Whataburger
american (traditional),ZJxs1L4oMhX9GW00ty0aAg,0.875,Buffalo Wild Wings
american (traditional),psZF-7maJzwhtfesiSrACA,1.0,Whataburger
american (traditional),faitVIiNezSN0ogZQSZPWQ,0.714285714286,Lantana Grille
american (traditional),UB2j_EV3CIM_E4LcpadKMQ,0.885245901639,Salty Sow
american (traditional),ET9VpUk1UgjMN5DJRV0yOw,0.875,Christopher's Fermier Brasserie & Paola's Wine Bar
american (traditional),dVRRT0zVk8eFNx0Wv6gMmg,1.0,Chili's Grill & Bar
